SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,September-26-2025,Single Family Residential,195 Castillejo Dr,Daly City,CA,94015,1022800,5,3.0,St. Francis Heights,1480,3500,1960,,691,,Sold,,,https://www.redfin.com/CA/Daly-City/195-Castillejo-Dr-94015/home/576899,San Francisco MLS,425051426,N,Y,37.6694787,-122.4808291
PAST SALE,,Condo/Co-op,361 Half Moon Ln #310,Daly City,CA,94015,663500,1,1.0,,817,,1974,,812,,,,,https://www.redfin.com/CA/Daly-City/361-Half-Moon-Ln-94015/unit-310/home/1687597,,,N,Y,37.6666149,-122.4647285
PAST SALE,September-26-2025,Condo/Co-op,373 Half Moon Ln #108,Daly City,CA,94015,525000,2,1.0,DALY CITY,817,,1974,,643,529,Sold,,,https://www.redfin.com/CA/Daly-City/373-Half-Moon-Ln-94015/unit-108/home/1029789,MLSListings,ML82020543,N,Y,37.6652598,-122.4645182
PAST SALE,November-21-2025,Single Family Residential,88 Belcrest Ave,Daly City,CA,94015,1125000,3,1.0,Westlake Terrace,1060,3848,1960,,1061,,Sold,,,https://www.redfin.com/CA/Daly-City/88-Belcrest-Ave-94015/home/1264103,San Francisco MLS,425083525,N,Y,37.664568,-122.4890427
PAST SALE,October-2-2025,Single Family Residential,3 John Papan Ct,Daly City,CA,94015,1350000,3,2.5,Original Daly City,1640,3665,1982,,823,,Sold,,,https://www.redfin.com/CA/Daly-City/3-John-Papan-Ct-94015/home/1610417,MetroList,425070562,N,Y,37.6585364,-122.4710376
PAST SALE,October-8-2025,Single Family Residential,355 Crestview Cir,Daly City,CA,94015,1671000,5,3.0,DALY CITY,2334,3040,2015,,716,144,Sold,,,https://www.redfin.com/CA/Daly-City/355-Crestview-Cir-94015/home/75119520,MLSListings,ML82020711,N,Y,37.6672595,-122.4812628
PAST SALE,November-20-2025,Single Family Residential,169 Lake Vista Ave,Daly City,CA,94015,1475000,3,2.0,DALY CITY,1710,3329,1950,,863,,Sold,,,https://www.redfin.com/CA/Daly-City/169-Lake-Vista-Ave-94015/home/2058456,MLSListings,ML82024863,N,Y,37.7032946,-122.4809853
PAST SALE,September-15-2025,Single Family Residential,4336 Callan Blvd,Daly City,CA,94015,1405000,3,2.5,Serramonte,1670,4390,1968,,841,,Sold,,,https://www.redfin.com/CA/Daly-City/4336-Callan-Blvd-94015/home/915430,San Francisco MLS,425066185,N,Y,37.6586779,-122.4701998
PAST SALE,November-25-2025,Single Family Residential,78 Southdale Ave,Daly City,CA,94015,1255000,3,1.5,DALY CITY,1260,3400,1960,,996,,Sold,,,https://www.redfin.com/CA/Daly-City/78-Southdale-Ave-94015/home/579779,MLSListings,ML82024992,N,Y,37.6748646,-122.4875119
PAST SALE,October-3-2025,Single Family Residential,751 Skyline Dr,Daly City,CA,94015,1250000,3,2.0,DALY CITY,1150,3300,1958,,1087,,Sold,,,https://www.redfin.com/CA/Daly-City/751-Skyline-Dr-94015/home/1512295,MLSListings,ML82020034,N,Y,37.6736314,-122.4893282
PAST SALE,October-29-2025,Single Family Residential,1532 Annie St,Daly City,CA,94015,1520000,3,2.5,DALY CITY,2466,3000,2016,,616,270,Sold,,,https://www.redfin.com/CA/Daly-City/1532-Annie-St-94015/home/144108444,MLSListings,ML82022763,N,Y,37.6893866,-122.4756502
PAST SALE,November-13-2025,Townhouse,289 Barbara Ln,Daly City,CA,94015,1030000,3,2.5,DALY CITY,1610,1328,1984,,640,410,Sold,,,https://www.redfin.com/CA/Daly-City/289-Barbara-Ln-94015/home/925035,MLSListings,ML82023198,N,Y,37.6575149,-122.4622117
PAST SALE,September-17-2025,Single Family Residential,550 Verducci Dr,Daly City,CA,94015,912700,3,1.5,Original Daly City,1280,4716,1968,,713,,Sold,,,https://www.redfin.com/CA/Daly-City/550-Verducci-Dr-94015/home/918545,MetroList,425064663,N,Y,37.6514834,-122.4616086
