zip_code,price,sqft,beds,baths,age,property_type,price_per_sqft
94010,1435609,1831,4,2.0,8,Single Family,784.0573457127252
94010,1500400,1470,4,2.0,24,Single Family Residence,1020.6802721088435
94010,1559574,2267,3,2.5,50,Single Family,687.9461843846493
94010,1660999,2619,6,4.0,69,Residential,634.2111492936235
94010,1727169,1825,5,2.5,93,Single Family,946.3939726027397
94010,1948920,1901,5,3.0,29,Single Family Residential,1025.2077853761177
94010,1997551,2123,4,2.0,78,House,940.9095619406501
94010,2036477,2245,4,2.0,18,Residential,907.1167037861916
94010,2062450,2564,6,4.0,26,Single Family Residential,804.3876755070203
94010,2064906,1925,4,3.0,67,Residential,1072.6784415584416
94010,2094813,1952,4,2.0,76,Residential,1073.1623975409836
94010,2147399,1533,4,2.5,76,Single Family,1400.7821265492498
94010,2167060,1680,3,2.0,82,Single Family Residence,1289.9166666666667
94010,2189142,1103,3,2.0,90,Single Family,1984.716228467815
94010,2223586,2442,5,2.5,45,Single Family Residence,910.5593775593776
94010,2260583,1933,3,3.0,30,Single Family Residence,1169.4687015002587
94010,2293600,2191,4,3.0,85,House,1046.8279324509356
94010,2352156,1249,3,2.0,63,Residential,1883.2313851080864
94010,2403539,2395,5,2.0,31,House,1003.5653444676409
94010,2408530,1169,2,1.0,30,Single Family,2060.333618477331
94010,2420861,2085,4,3.0,49,Single Family Residence,1161.084412470024
94010,2424584,1774,3,2.0,78,House,1366.7328072153325
94010,2444062,1292,3,2.5,100,Single Family Residential,1891.688854489164
94010,2452266,2016,4,3.0,73,House,1216.4017857142858
94010,2459920,1248,4,2.0,84,Single Family Residence,1971.0897435897436
94010,2476577,2110,3,2.5,60,Residential,1173.7331753554502
94010,2487170,1682,3,2.0,29,Single Family,1478.6979785969083
94010,2517553,2069,4,2.5,93,Single Family,1216.797003383277
94010,2526177,2453,3,3.0,78,House,1029.83163473298
94010,2566394,1933,5,2.5,64,Single Family Residential,1327.6740817382308
94010,2615345,1926,4,3.0,45,Single Family,1357.9153686396678
94010,2659967,1105,2,2.0,41,Single Family Residence,2407.209954751131
94010,2661419,1284,4,2.0,38,House,2072.756230529595
94010,2680817,2186,3,2.5,87,Residential,1226.357273559012
94010,2685730,2216,4,3.0,57,Single Family,1211.9720216606497
94010,2707051,2108,4,2.5,73,Residential,1284.1797912713473
94010,2716422,1146,3,1.0,103,Residential,2370.3507853403144
94010,2720632,1827,4,3.0,85,Single Family Residence,1489.1253420908592
94010,2738385,1943,5,3.0,85,Single Family Residential,1409.359238291302
94010,2792180,1941,5,2.0,56,Single Family Residential,1438.5265327150953
