zip_code,price,sqft,beds,baths,year_built,age,property_type,price_per_sqft
94070,2150409,1478,4,2.5,1970,55,Single Family Residence,1454.95
94070,1827556,1985,4,3.0,1986,39,Single Family Residential,920.68
94070,2162460,2036,5,2.5,1949,76,Residential,1062.11
94070,2388975,1794,3,2.0,2009,16,Single Family Residential,1331.65
94070,1857495,2712,6,3.5,1934,91,Single Family Residential,684.92
94070,1794878,1673,3,2.0,1933,92,Residential,1072.85
94070,2518879,1863,4,2.5,1940,85,Single Family Residence,1352.06
94070,2762563,2304,3,2.5,2003,22,Residential,1199.03
94070,1148517,1472,3,2.0,1947,78,Single Family Residential,780.24
94070,1619714,2085,5,3.0,1974,51,Single Family Residence,776.84
94070,1815346,1318,3,2.0,1960,65,Residential,1377.35
94070,2444540,1870,3,2.5,1976,49,Single Family Residential,1307.24
94070,2292615,815,3,2.0,2008,17,Single Family Residential,2813.02
94070,2018863,2200,4,2.0,1932,93,Single Family Residence,917.66
94070,2074751,2445,4,2.0,2022,3,Single Family,848.57
94070,2212091,1601,3,2.0,1986,39,Single Family Residential,1381.69
94070,1197364,1840,5,3.0,1951,74,House,650.74
94070,1826146,1777,3,2.0,2012,13,Residential,1027.66
94070,1562501,1359,3,2.5,1943,82,Residential,1149.74
94070,2591809,1930,4,2.5,1983,42,Residential,1342.91
94070,1700885,1015,3,2.0,2002,23,Single Family Residential,1675.75
94070,1997076,1519,3,2.0,2010,15,Single Family Residential,1314.73
94070,1309291,2076,3,3.0,1967,58,Single Family Residential,630.68
94070,1573957,1354,3,2.5,1991,34,Residential,1162.45
94070,2392736,2463,4,2.5,2014,11,Single Family Residential,971.47
94070,1937000,1897,4,3.0,1998,27,House,1021.09
94070,2476494,2901,4,4.0,1929,96,House,853.67
94070,1617014,2008,4,3.0,1934,91,Single Family Residence,805.29
94070,1877254,2106,4,3.0,1933,92,Residential,891.38
94070,2450006,1272,3,2.0,2003,22,Single Family Residence,1926.11
94070,2229437,1893,4,3.0,1924,101,Single Family,1177.73
94070,1743910,1033,3,1.5,2014,11,Single Family Residential,1688.2
94070,2523657,2070,5,3.0,1942,83,Single Family Residence,1219.16
94070,1575844,1866,5,2.0,1981,44,Single Family Residence,844.5
94070,2482769,800,2,1.0,2012,13,House,3103.46
94070,1930493,1036,3,1.5,1994,31,Single Family,1863.41
94070,1888997,1779,4,2.0,1992,33,Single Family Residence,1061.83
94070,2442297,1713,3,2.0,1983,42,House,1425.74
94070,2018403,1869,4,2.0,2004,21,House,1079.94
94070,2326531,1750,4,2.0,2012,13,Single Family Residential,1329.45
94070,2340388,1735,3,2.5,1948,77,Single Family Residential,1348.93
94070,2371492,1748,4,2.0,2011,14,House,1356.69
94070,1109024,1439,3,2.0,1957,68,Residential,770.69
94070,2488147,1698,4,2.0,1924,101,Single Family Residential,1465.34
94070,2336428,1934,5,2.5,1992,33,Residential,1208.08
94070,2938434,1767,3,2.0,1958,67,Residential,1662.95
94070,2665099,2697,5,4.0,1947,78,Single Family,988.17
